id,mmocphi12,mmocphiym12,mmocphinm12,mmocphi16,mmocphiym16,mmocphinm16
37063000101,21.3,22.9,12.2,18.8,19.8,10.0
37063000102,21.8,24.4,11.1,14.9,17.8,10.9
37063000200,23.5,24.7,14.8,17.3,18.9,13.7
37063000301,24.3,27.0,10.0,13.8,23.8,10.0
37063000302,19.8,21.0,10.0,18.6,18.7,10.0
37063000401,17.6,19.0,11.4,16.4,20.7,10.4
37063000402,21.0,22.4,15.4,19.7,21.9,13.8
37063000500,24.1,29.5,17.1,20.8,23.4,12.4
37063000600,18.4,20.2,10.0,17.2,18.1,14.3
37063000700,15.9,18.7,10.0,14.8,17.7,10.0
37063000900,20.4,24.8,13.3,27.9,32.9,20.0
37063001001,35.4,36.4,21.7,20.3,26.0,10.0
37063001002,24.0,28.3,16.1,20.5,21.9,17.1
37063001100,16.4,22.7,10.0,27.0,26.7,NaN
37063001301,29.2,27.0,31.5,35.8,50.0,14.7
37063001303,28.8,35.5,20.8,28.6,27.9,31.1
37063001304,16.6,19.5,13.0,13.3,18.2,10.0
37063001400,23.1,28.1,15.1,16.4,20.8,13.8
37063001501,NaN,NaN,NaN,NaN,NaN,NaN
37063001502,22.2,23.1,10.0,NaN,NaN,NaN
37063001503,NaN,NaN,NaN,NaN,NaN,NaN
37063001601,16.8,19.8,11.7,16.6,19.7,10.2
37063001603,19.6,20.9,12.9,16.9,17.9,11.3
37063001604,18.3,19.9,10.0,16.7,18.7,10.0
37063001705,20.9,24.9,16.7,16.3,17.8,13.4
37063001706,16.6,18.9,10.3,14.5,16.3,10.9
37063001707,18.9,21.0,13.0,17.1,20.1,10.0
37063001708,22.5,24.2,17.4,21.2,23.0,10.0
37063001709,23.2,28.1,10.0,23.8,30.0,10.0
37063001710,23.1,24.7,11.3,19.3,21.7,12.6
37063001711,18.4,23.0,14.4,16.6,18.3,11.5
37063001801,21.2,24.2,13.4,19.7,21.8,12.3
37063001802,23.5,25.3,12.5,21.6,25.7,12.8
37063001806,24.8,24.7,25.2,20.1,20.6,13.2
37063001807,22.7,24.2,14.9,19.5,20.2,14.3
37063001808,20.6,21.3,11.4,17.9,19.4,10.0
37063001809,18.6,20.6,10.0,18.1,20.2,10.0
37063001900,18.8,20.9,12.0,20.0,22.0,10.0
37063002007,19.2,22.5,12.6,18.7,21.1,12.7
37063002008,20.4,23.0,10.0,16.7,18.2,10.0
37063002009,22.7,26.2,12.7,25.3,31.6,17.5
37063002013,20.5,21.5,10.0,18.7,21.2,10.0
37063002015,17.2,18.5,10.5,17.2,18.8,13.3
37063002016,17.3,19.0,14.8,18.4,19.3,14.8
37063002017,17.8,19.9,10.0,15.1,18.5,10.0
37063002018,16.5,23.6,10.0,14.6,20.5,10.0
37063002019,21.4,21.3,25.2,17.9,18.5,10.0
37063002020,18.7,19.9,10.0,18.9,20.3,10.0
37063002021,22.6,24.3,13.5,18.0,19.7,13.8
37063002022,20.1,21.1,10.0,16.4,17.4,10.0
37063002023,20.0,21.4,11.9,14.1,14.7,10.0
37063002024,18.1,19.5,10.0,16.2,18.8,10.0
37063002025,23.7,23.9,10.0,18.3,19.5,10.0
37063002026,28.4,30.9,10.7,20.0,22.1,10.0
37063002027,19.1,20.0,12.6,19.0,21.9,10.9
37063002028,20.7,21.4,10.0,17.1,17.9,10.0
37063002100,17.8,19.9,10.6,17.3,19.1,10.0
37063002200,24.7,26.1,20.4,19.4,21.9,13.2
37063002300,14.1,NaN,21.8,15.0,13.3,16.2
37063980100,NaN,NaN,NaN,NaN,NaN,NaN
